PMB CODE,PMB CONDITION,MEDICINE SUB-CATEGORY,MEDICINE CLASS NAME,PRODUCT NAME,STRENGTH
100E,Patent ductus arteriosus; aortic pulmonary fistula - persistent,"Ace Inhibitors, Plain",Captopril,Mylan captopril,25 mg
,,,,Mylan captopril,50 mg
,,,Enalapril,Tenezil,10 mg
,,,,Natrapress,10 mg
,,,,Enalapril 10 arya,10 mg
,,,,Natrapress,20 mg
,,,,Enalapril 20 arya,20 mg
,,,,Tenezil,20 mg
,,,,Enalapril 5 arya,5 mg
,,,,Hypace,5 mg
,,"Beta blocking agents, non-selective",Propranolol,Indoblok,40 mg
113S,Acquired haemolytic anaemias,Alkylating Agents - Nitrogen Mustard Analogues,Cyclophosphamide,Endoxan,50 mg
,,Other Immunosuppressive Agents,Azathioprine,Azamun,50 mg
,,,,Azathioprine pch,50 mg
,,,Methotrexate,Methotrexate,"2,5 mg"
,,,Prednisolone,Aspelone,15 mg/5 mL
,,Systemic Corticosteroids - Prednisolone,,Adco prednisolone,15 mg/5 mL
,,Systemic Corticosteroids - Prednisone,Prednisone,Panafcort,5 mg
,,,,Be-tabs prednisone,5 mg
,,,,Trolic,5 mg
11S,Tuberculosis,Anti-TB Drugs - Hydrazides,Isoniazid,Norstan isoniazid,200 mg
,,,,Winthrop isoniazid,300 mg
,,,,Solonex,"300 mg;100
mg"
,,"Anti-TB Drugs, Combinations",Rifampicin and isoniazid,Ebsar 2-ds 300/150,"300 mg;150
mg"
,,,,Afaris fc,300mg:150 mg
,,,,Afaris fc,150 mg;75 mg
11S,Tuberculosis,"Anti-TB Drugs, Combinations","Rifampicin, pyrazinamide, ethambutol and isoniazid",Antib-4,-a
,,"Anti-TB Drugs, Others",Ethambutol,Sandoz ethambutol,400 mg
,,,Pyrazinamide,Macleods pyrazinamide,500 mg
,,Other plain vitamin preparations,Pyridoxine (vit B6),Holland and barrett vitamin b6,100 mg
,,,,Pyridoxine,25 mg
,,,,Pyridoxine,25 mg
,,,,Pyridoxine,25 mg
,,Systemic Corticosteroids - Prednisolone,Prednisolone,Aspelone,15 mg/5 mL
,,,,Adco prednisolone,15 mg/5 mL
,,Systemic Corticosteroids - Prednisone,Prednisone,Panafcort,5 mg
,,,,Be-tabs prednisone,5 mg
,,,,Trolic,5 mg
122S,Thalassemia and other haemoglobinopathies – treatable,"Ascorbic acid (vitamin C), plain",Ascorbic acid (vit C),Be-tabs ascorbic acid,500 mg
,,,,Body balance vitamin c,500 mg
,,,,Scriptsaver vit c (bioflav),500 mg
,,Folic acid and derivatives,Folic acid,Gulf folic acid,5 mg
,,,,Be-tabs folic acid,5 mg
174S,Hereditary haemolytic anaemias (e.g. sickle cell); dyserythropoietic anaemia (congenital),Analgesics - Other Opioids,Tramadol,Domadol,50 mg
,,,,Dolotram,50 mg
,,,,Tramazac,50 mg
,,Anti-inflammatory Agents - Acetic acid derivatives and related substances,Diclofenac,Diclofenac biotech,25 mg
,,,,Mylan diclofenac,25 mg
,,,,Panamor at,50 mg
,,,,Mylan diclofenac,50 mg
,,,,Adco-diclofenac,50 mg
,,,,A-lennon diclofenac,50 mg
,,,Indometacin,Methocaps,25 mg
,,,,Gulf indomethacin,25 mg
,,,,Betacin,25 mg
174S,Hereditary haemolytic anaemias (e.g. sickle cell); dyserythropoietic anaemia (congenital),Anti-inflammatory Agents - Oxicams,Piroxicam,Roxifen,20 mg
,,,,Pyrocaps,20 mg
,,Anti-inflammatory Agents - Propionic acid derivatives,Azathioprine,Ibugesic,100 mg/5 mL
,,,Ibuprofen,Ibucine,100 mg/5 mL
,,,,Inflamax Paediatric,100 mg/5 mL
,,,,Ibugesic oral suspension (strawberry),100 mg/5 mL
,,,,Ibucine,200 mg
,,,,Ibusor,200 mg
,,,,Betaprofen,200 mg
,,,,Ibunate,200 mg
,,,,Ibucine,400 mg
,,,,Bren,400 mg
,,Antimetabolites - Others,Hydroxycarbamide,Hydrea,500 mg
,,Folic acid and derivatives,Folic acid,Gulf folic acid,5 mg
,,,,Be-tabs folic acid,5 mg
,,,Ferrous sulphate,Ferrous sulphate,30 mg
,,"Iron bivalent, oral preparations",,Ferrous sulphate,75 mg
,,Other Immunosuppressive Agents - Azathioprine,Azathioprine,Azamun,50 mg
,,,,Azathioprine pch,50 mg
,,Systemic Corticosteroids - Prednisolone,Prednisolone,Aspelone,15 mg/5 mL
,,,,Adco prednisolone,15 mg/5 mL
,,Systemic Corticosteroids – Prednisone,Prednisone,Panafcort,5 mg
,,,,Be-tabs prednisone,5 mg
,,,,Trolic,5 mg
178H,Fracture of hip,"Antithrombotic Agents
- Vitamin K antagonists",Warfarin,Cipla-warfarin,5 mg
,,,,Warfarin 5mg Austell,5 mg
,,,,Warfarin 5 unicorn,5 mg
178H,Fracture of hip,"Antithrombotic Agents
- Vitamin K antagonists",Warfarin,Segavin,5 mg
18E,Dissecting or ruptured aortic aneurysm,"Antithrombotic Agents
- Vitamin K antagonists",Warfarin,Cipla-warfarin,5 mg
,,,,Warfarin 5mg Austell,5 mg
,,,,Warfarin 5 unicorn,5 mg
,,,,Segavin,5 mg
196S,Chronic Granulomatous disease,"Antibacterial Agents, systemic",Nalidixic acid,Winlomylon,250 mg/5 mL
,,,,Puromylon,500 mg
204E,Cardiac failure: acute or recent deterioration of chronic cardiac failure,"Ace Inhibitors, Plain",Captopril,Mylan captopril,25 mg
,,,,Mylan captopril,50 mg
,,,Enalapril,Tenezil,10 mg
,,,,Natrapress,10 mg
,,,,Enalapril 10 arya,10 mg
,,,,Natrapress,20 mg
,,,,Enalapril 20 arya,20 mg
,,,,Tenezil,20 mg
,,,,Hypace,5 mg
,,,,Enalapril 5 arya,5 mg
,,Cardiac Glycosides - Digoxin,Digoxin,Lanoxin paediatric/geriatric,"0,05 mg/1 mL"
,,,,Lanoxin,"0,0625 mg"
,,,,Lanoxin,"0,25 mg"
,,High-Ceiling Diuretics,Furosemide,Furobe,40 mg
,,,,Mylan furosemide,40 mg
,,,,Lasix oral,50 mg/5 mL
,,,"Influenza, purified antigen",Vaxigrip tetra single dose 0.5 mL pre-filled syringe,-
206H,Chronic osteomyelitis,Anti-Mycobacterials - Antibiotics,Rifampicin,Rimactane,150 mg
209E,Thrombo-embolism,"Antithrombotic Agents
- Vitamin K antagonists",Warfarin,Cipla-warfarin,5 mg
209E,Thrombo-embolism,"Antithrombotic Agents
- Vitamin K antagonists",Warfarin,Warfarin 5 mg Austell,5 mg
,,,,Warfarin 5 unicorn,5 mg
,,,,Segavin,5 mg
213A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury","Antibacterial Agents, systemic",Sulfamethoxazole and trimethoprim,Trixazole,480 mg
,,,,Lagatrim,480 mg
,,,,Doctrim,240 mg/5 mL
,,,,Ilvitrim,240 mg/5 mL
,,,,Purbac,240 mg/5 mL
,,,,Novatrim,240 mg/5 mL
,,,,Ilvitrim,480 mg
,,,,Nucotrim,480 mg
,,,,Cozole,480 mg
,,Anti-inflammatory Agents - Acetic acid derivatives and related substances,Diclofenac,Diclofenac biotech,25 mg
,,,,Mylan diclofenac,25 mg
,,,,Panamor at,50 mg
,,,,Mylan diclofenac,50 mg
,,,,Adco-diclofenac,50 mg
,,,,A-lennon diclofenac,50 mg
,,,Indometacin,Methocaps,25 mg
,,,,Betacin,25 mg
,,,,Gulf indomethacin,25 mg
,,Anti-inflammatory Agents - Propionic acid derivatives,Ibuprofen,Ibucine,100 mg/5 mL
,,,,Ibugesic,100 mg/5 mL
,,,,Inflamax Paediatric,100 mg/5 mL
,,,,Ibugesic oral suspension (strawberry),100 mg/5 mL
,,,,Ibucine,200 mg
,,,,Ibusor,200 mg
,,,,Betaprofen,200 mg
,,,,Ibunate,200 mg
213A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Anti-inflammatory Agents - Propionic acid derivatives,Ibuprofen,Ibucine,400 mg
,,,,Bren,400 mg
,,"Antithrombotic Agents
- Vitamin K antagonists",Warfarin,Cipla-warfarin,5 mg
